"course_title","code","subject","description"
"African Societies and Politics","AFAM 156","AFAM - African American Studies","Examines the violent incorporation of Africa within European modernity. Places the discourse of Pan-Africanism, African Nationalisms, Negritude, African Marxism, and/or African Socialism in juxtaposition to the forces of capitalism, colonialism, and imperialism that restructure African history.Repeatability: Unlimited as topics vary."
"Critical Race Theory","AFAM 157","AFAM - African American Studies","Introduction to Critical Race Theory and key American cases on racial inequality. Using this literature, examines the possibilities and pitfalls of legal claims of race, gender, and sexuality discrimination in the age of colorblindness.Same asCLS C178.Restriction: Upper-division students only. African-American Studies Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Prisons and Public Education","AFAM 159","AFAM - African American Studies","Looks at the connections between schools and prisons in the United States. Students learn about ideas that push beyond common trope of the “school to prison pipeline.”.Same asANTH 138."
"The Black Protest Tradition","AFAM 162W","AFAM - African American Studies","History and discourses of the black protest tradition. Traces emergence of black protest against racial slavery and white supremacy from the early colonial period to present and the complex elaboration of identity politics within black communities in the twentieth century.Prerequisite: Satisfactory completion of the Lower-Division Writing requirement.Restriction: Upper-division students only.(Ib)"
"Seminar in African American Studies","AFAM 163","AFAM - African American Studies","Explores theoretical and methodological issues in Black Studies via concentrated work on a specific ensemble of questions. Emphasis is on generating student responses to the material covered through oral and written reports.Repeatability: Unlimited as topics vary."
"Directed Group Study","AFAM 198","AFAM - African American Studies",""
"Independent Study","AFAM 199","AFAM - African American Studies",""
"University Teaching","AFAM 399","AFAM - African American Studies",""
"African American Studies I","AFAM 40A","AFAM - African American Studies","Discusses main contours of African American experience from the forced importation of Africans into the Americas in the late fifteenth century to the development of social movements in post-emancipation societies of the late nineteenth and twentieth centuries.((III or IV) and VII )."
"African American Studies II","AFAM 40B","AFAM - African American Studies","Introduction to the history of modern racial thinking in Western society and its relationship to the material contexts of racial oppression, with emphasis on its development in British colonies and U.S.((III or IV) and VII )."
"African American Studies III","AFAM 40C","AFAM - African American Studies","Introduction to theories of racial blackness in the modern world, with emphasis on developments in British colonies and U.S. Traces emergence of blackness as term of collective identity, social organization, and political mobilization.((III or IV) and VII )."
"Introductory Topics in African American Studies","AFAM 50","AFAM - African American Studies","Introduction to a broad range of topics in African American studies, exploring history, literature, art, culture, politics, and contemporary social issues. Topical organization of courses addresses issues that have been of importance historically and are reshaping the African diaspora today.Repeatability: Unlimited as topics vary."
"Political Economy: Methods and Critique","CRITISM 200A","CRITISM - Criticism/English","Introduction to canonical texts in Marxism coupled with an examination of the questions of race, gender, ethnicity, and sexuality that distend the calculus of the canon’s assumptive logic. May be taken afterCLT&THY 200B.Same asCLT&THY 200A.Restriction: Graduate students only."
"Research Methodologies for Asian American Studies","ASIANAM 100W","ASIANAM - Asian American Studies","Explores various research methodologies for Asian American Studies combining theoretical knowledge with field research. Goals: conduct field research about immigrants and refugees from Asia. Topics vary: migration and labor, assimilation and cultural preservation, cultural expressions in the diaspora.Prerequisite: Satisfactory completion of the Lower-Division Writing requirement.(Ib)"
"Asian American Writers","ASIANAM 110","ASIANAM - Asian American Studies","Literary analysis of Asian American writers' representations of issues of identity, class, history among others. Variety of literary forms—novel, poem, drama, essay—included in a study of a variety of Asian American ethnic groups.Repeatability: Unlimited as topics vary."
"Asian American History","ASIANAM 111","ASIANAM - Asian American Studies","Introduction to important themes in the history of people of Asian ancestry in the United States from the nineteenth century to the present.Repeatability: Unlimited as topics vary."
"Asian American Art History","ASIANAM 112","ASIANAM - Asian American Studies","Investigation of Asian American experience expressed by art and visual culture throughout the twentieth century. Art by Asian Americans of diverse backgrounds as well as the history of cultural visualization of Asian identities in American art/visual culture.Repeatability: Unlimited as topics vary."
"Topics in Asian American Film and Video","ASIANAM 114","ASIANAM - Asian American Studies","Topics include histories of Asian American film and video, including documentaries, experimental, short subjects, feature-length independent film, and other forms of cinematic expression. Explores issues of identity (national, racial, gendered, among others).Repeatability: Unlimited as topics vary."
"Asian Americans and Popular Culture","ASIANAM 116","ASIANAM - Asian American Studies","Focuses on Asian Americans' relationship to popular culture as both producers and consumers. Topics include consumer cultures and subcultures, cyberspace and public space, popular music, indy comics and other print media.Repeatability: Unlimited as topics vary."
