"code","level","title","description","credits"
"CHEM 1210","Undergraduate","General Chemistry I","First course for science majors, covering dimensional analysis, atomic structure, the mole, stoichiometry, chemical reactions, thermochemistry, electron configuration, bonding, molecular structure, gases, liquids, and solids.
Prereq: One unit of high school chemistry, and Math Placement Level L or M; or a grade of C- or above in Math 1120, 1130, 1131, 1148, 1150, or above. Not open to students with credit for 1220, 1620, 1920H, 1250, 1610, or 1910H. This course is available for EM credit. GE nat sci phys course. GE foundation natural sci course.",5
"BIOLOGY 1101","Undergraduate","Introductory Biology","Basic principles of biology; topics include the nature of science, organismal diversity, evolution, ecology, genetics, reproduction, and cellular structure and function. Not intended students majoring in one of the biological sciences.
Prereq: Not open to students with credit for 1101E, 1113 (113), 1113H (115H), 101, Entmlgy 1101 (101), or MolGen 1101 (PlntBio101). This course is available for EM credit. GE nat sci bio course. GE foundation natural sci course.",4
"BIOLOGY 1113.01","Undergraduate","Biological Sciences: Energy Transfer and Development","Exploration of biology and biological principles; evolution and the origin of life, cellular structure and function, bioenergetics, and genetics. A broad introduction to biology comprises both Biology 1113 and 1114. 
Prereq: Math 1120, 1130, 1148, 1150, or above, or Math Placement Level L or M. Prereq or concur: Chem 1110, 1208, 1210, 1610, or 1910H, or permission of course coordinator. Not open to students with credit for 1113 or 1113.02. This course is available for EM credit. GE nat sci bio course. GE foundation natural sci course.",4
"PSYCH 1100","Undergraduate","Introduction to Psychology","A prerequisite to advanced courses; a broad survey of psychological science. Application of the scientific method to the empirical study of behavior with emphasis on individual and cultural differences.
Prereq: Not open to students with credit for 100, 1100H (100H) or 1100E (100E). This course is available for EM credit. GE soc sci indivs and groups and diversity soc div in the US course. GE foundation social and behavioral sci course.",3
"ENGLISH 1109","Undergraduate","Intensive Writing and Reading","Provides intensive practice in integrating academic reading and writing. Credit may not count toward graduation in some degree programs.
Prereq: English Placement Test score of 6. Not open to students with credit for 1110.01 (110.01), 1110.01H (110.01H), 1110.02 (110.02), 1110.02H (110.02H), 052, 060, or 110.03, or equiv.",4
"ENGLISH 1110.01","Undergraduate","First-Year English Composition","Practice in the fundamentals of expository writing, as illustrated in the student's own writing & in the essays of professional writers. May be available as a service learning course with five hours community service required at the Lima campus only.
Prereq: EduTL1902 (108.01) or 1902.04 (108.01), or English Placement Level 4. Not open to students with credit for 1109 (109.01 or 109.02), 1110.01 (non-DL version), 1110.01H (110.01H), 1110.02 (110.02), 1110.02H (110.02H), 1110.03 (110.03), 1167H (167H ), 110.01. This course is available for EM credit. GE writing and comm course: level 1. GE foundation writing and info literacy course.",3
"MATH 1050","Undergraduate","Precollege Mathematics I","Fractions and decimals, basic algebra, graphing lines, factoring, systems of equations. Credit for this course will not count toward graduation in any degree program.
Prereq: 1040 (040) or 050, or Math Placement Level T, or permission of department. Not open to students with credit for any Math course above 1050 (050). This course is available for EM credit.",5
"MATH 1075","Undergraduate","Precollege Mathematics II","Algebraic, rational, and radical expressions; functions and graphs; quadratic equations; absolute value; inequalities; and applications. Credit for this course will not count toward graduation in any degree program.
Prereq: 1074 or 075; or a grade of C- or above in 1050; or Math Skills Assessment Level R or S; or ACT math subscore of 22 or higher that is less than 2 years old. Not open to students with credit for any Math course above 1075, except for 1116; or for any quarter-system course above 075, except for 116. This course is available for EM credit. GE quant reason basic computation course.",4
"RELSTDS 2370","Undergraduate","Introduction to Comparative Religion","Introduction to the academic study of religion through comparison among major traditions (Judaism, Christianity, Islam, Hinduism, Buddhism, etc.) and smaller communities.
Prereq: English 1110 or equiv. Not open to students with credit for 2370H or CompStd 2370H or 2370. GE cultures and ideas and diversity global studies course. GE foundation historical and cultural studies and race, ethnicity and gender div course.",3
"AEDECON 2001","Undergraduate","Principles of Food and Resource Economics","Microeconomic principles applied to allocation issues in the production, distribution, and consumption of food and natural resource use.
Prereq: Not open to students with credit for 2001H or Econ 2001. This course is available for EM credit. GE soc sci human, nat, and econ resources course. GE foundation social and behavioral sci course.",3
"GENBIOL 1250T","Undergraduate","General Botany with Applications","Introduction to the fundamental structures and processes of plants, including plant anatomy, physiology, morphology, reproduction, and genetics.
Prereq: Not open to students with credit for 125T or HCS 300 or PlntBio 300. This course is available for EM credit.",4
"GENMATH 1141T","Undergraduate","Business Mathematics","The mathematics of business and finance: ratios, proportions, decimals, precents, markup and discounts, the income statement, simple interest, compound interest, annuities, amortization and sinking funds.
Prereq: Math 1050, or Math Placement Level S or higher, or Concur: GenMath 1193T. This course is available for EM credit.",3
"BUSTEC 2247T","Undergraduate","Business Law","A study of legal principles, contracts, negotiable instruments, leases, sales, product liability, and consumer protection.
Prereq: Not open to students with credit for 247T. This course is available for EM credit.",3
"BUSTEC 1202T","Undergraduate","Software Applications","An overview of basic computer skills and study of the features and capabilities of presentations, word processing, spreadsheet and database software as decision management aids.
Prereq: Not open to students with credit for 202T. This course is available for EM credit.",1
