course_code,title,credits,description
AMDT 499,Special Problems,V 1-4,"May be repeated for credit . Course Prerequisite: By department permission. Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
AMDT 508,Environmental and Social Issues in the Apparel Industry,3,Exploration of current environmental and social issues in the global apparel industry.
AMDT 509,Technical Apparel Design,3 (0-6),"Advanced understanding of technical applications in apparel production, development, and construction related to modern manufacturing. Credit not granted for both AMDT 409 and 509. Offered at 400 and 500 level."
AMDT 515,Textile Product Development and Innovation,3,Apply knowledge of textile component and emerging materials/techniques to innovative textile product development. Recommended preparation: AMDT 210.
AMDT 517,"Theory and Methods of Culture, Gender and Dress",3,"Exploration of appearance issues, theory, and research from the perspective of social science, feminist theory, postmodern and poststructural discourses."
AMDT 518,Apparel Merchandising Analysis,3,"Analysis of marketing and retailing strategies, trends and technological developments in relation to business and consumer aspects within a global context."
AMDT 519,Research Methods,3,"Analysis and understanding of research methods, exploration of thesis topic as applicable to the fields of apparel, merchandising, design and textiles."
AMDT 550,Social Networking and Omni-channel Retailing,3,"Analysis of social networking technology and consumer trends, industry practices, and marketing strategies that comprise omni-channel retailing; assessment and solution of market challenges; presentation of academic research."
AMDT 596,Advanced Instructional Practicum,3,"Information and direction for graduate student teaching assistants seeking professional development in classroom teaching. S, F grading."
AMDT 598,Topics in Apparel and Textiles,V 1-3,May be repeated for credit ; cumulative maximum 8 credits . Current topics in apparel and textile theory and research.
AMDT 600,Special Projects or Independent Study,V 1-18,"May be repeated for credit . Independent study, special projects, and/or internships. Students must have graduate degree-seeking status and should check with their major advisor before enrolling in 600 credit, which cannot be used toward the core graded credits required for a graduate degree. S, F grading."
AMDT 700,"Master's Research, Thesis, and/or Examination",V 1-18,"May be repeated for credit . Independent research and advanced study for students working on their master's research, thesis and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 700 credit. S, U grading."
AMDT 702,"Master's Special Problems, Directed Study and/or Examination",V 1-18,"May be repeated for credit . Independent research in special problems, directed study, and/or examination credit for students in a non-thesis master's degree program. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 702 credit. S, U grading."
AMER_ST 216,Introduction to American Cultural Studies,3,"Introduction to the interdisciplinary study of American cultures and the field of American studies. (Crosslisted course offered as AMER ST 216, CES 216, ENGLISH 216, HISTORY 216, WGSS 216.)"
AMER_ST 264,Racial Justice Movements,3,"Examines racial justice movements since the 1960s, exploring the lessons, tactics, histories, and significance of movements across multiple communities. (Crosslisted course offered as AMER ST 264, CES 264. Formerly offered as AMER ST 474, CES 464.)"
AMER_ST 471,"Race, Popular Culture, and Post-Civil Rights America",3,"An examination of sports, television, film, music, and other examples of popular culture as resistance. (Crosslisted course offered as AMER ST 471, CES 461.)"
AMER_ST 472,"[EQJS] Race, Justice, and Food Ecosystems",3,"Course Prerequisite: Junior standing. Examines racial inequalities and injustice alongside of movements of change, highlighting the importance of food in a modern world. (Crosslisted course offered as AMER ST 472, CES 462, ENGLISH 472.)"
AMER_ST 473,Art as Resistance,3,"Course Prerequisite: Junior standing. Highlights artists and movements often erased within dominant narratives about art, and within galleries and museums. (Crosslisted course offered as AMER ST 473, CES 463.)"
AMER_ST 505,Pro Seminar in American Cultural Studies,3,Critical theoretical engagement within an interdisciplinary field; emphasis on professionalism.
AMER_ST 506,Frameworks in American Cultural Studies,3,"Critical framework for intellectual, theoretical, and political genealogies within American Studies."
AMER_ST 507,Contemporary Practices in American Cultural Studies,3,Overview of contemporary practices in American cultural studies; important concepts and major insights within the field.
AMER_ST 511,U.S. Presence and Intervention in the Pacific Rim,3,"Modern and contemporary relations between the United States and the nations and peoples of Asia and the Pacific; effects of war, technology, and globalization on those relations."
AMER_ST 512,Applied Linguistics in Contemporary American Culture,3,Linguistic theory from its historical foundations to current applications.
AMER_ST 515,The Neoliberal University,3,"Critically considers the pedagogical, professional, institutional, and social effects of neoliberalism on higher education."
AMER_ST 520,"Colonization, Globalization and Decolonization",3,"Topics in the critical study of colonialism, neo-colonialism, imperialism, globalization and resistance to these forces."
AMER_ST 524,Critical Studies in Popular Culture,3,Interdisciplinary approaches to historical and contemporary trends and issues in US popular culture.
AMER_ST 526,Contemporary Theories of Race and Ethnicity,3,Major theoretical readings and key recent texts in U.S. and transnational ethnic studies scholarship.
AMER_ST 528,Cultural Studies,3,Basic theory and core methods of the field of cultural studies through a cross discipline approach.
AMER_ST 529,Cultural Politics of the Body,3,"An interdisciplinary investigation of the historical, sociopolitical, biotechnical, and economic materialities of the human body within and across an array of identity categories."
